year,averageVol,GDP,avgIDP
2000,84727771.83,4395000000,95.2464
2001,10165787.75,4513000000,92.2863
2002,10364363.6,4570000000,92.6649
2003,9954604.433,4672000000,93.845
2004,10406309.9,4734000000,96.3718
2005,11093798.42,4795000000,99.5811
2006,12775219.07,5068000000,101.8448
2007,13389073.42,5219000000,104.4597
2008,14971960.13,5364000000,100.7864
2009,12701150.76,5740000000,89.2352
2010,12322691.05,5930000000,98.1842
2011,11499293.34,6104000000,97.0846
2012,9751557.804,6303000000,100.0006
2013,9862177.354,6613000000,102.0272
2014,8849807.675,6503000000,105.1883
2015,8706067.02,6578000000,104.0771
2016,8313737.385,6330000000,102.0602
2017,8257959.612,6126000000,104.4445
2018,11214016.08,6668000000,108.0279
2019,9251878.042,6835000000,109.4907
